group.name,Endogenous.InDelphi.MS.Score,Endogenous.InDelphi.MS.Percentile,Endogenous.InDelphi.F.Frequency,Endogenous.InDelphi.F.Percentile,Left_accessibility_20bp,Left_accessibility_40bp,Left_accessibility_100bp,Left_accessibility_500bp,Left_accessibility_1kbp,Right_accessibility_20bp,Right_accessibility_40bp,Right_accessibility_100bp,Right_accessibility_500bp,Right_accessibility_1kbp,,Chromatin_size,ExonNumber,Position(aa),protein_length(aa),Position(relative),CNV_HMM_293T,Expression
ATP5B,0.29,18.1,89.9,94.5,26,47,123,442,1205,22,65,143,308,605,chr12,133851895,10,529,529,1,2.85,44874.97552
RPL11,0.2,11.6,76.8,46,11,16,29,456,1039,1,11,76,829,1177,chr1,249250621,6,175,177,0.988700565,NaN,25694.74336
ID1,1.45,92.9,79.7,58,60,176,453,2944,9385,77,259,529,1966,3587,chr20,63025520,1,125,155,0.806451613,3.12,4632.236955
AAVS1,0.82,67.8,62.4,12.9,40,55,147,1153,2229,29,51,131,1085,4805,chr19,59128983,NaN,NaN,NaN,NaN,3.21,6941.176809
ACOX2,0.52,40.8,61.3,11.7,48,76,206,1295,1900,103,148,197,718,4172,chr3,198022430,8,334,682,0.48973607,4.02,0.658162875
ADAMTS16,2.33,99.1,74.9,38.9,16,31,117,743,1364,20,41,105,776,1227,chr5,180915260,1,5,571,0.008756567,2.18,0.611323807
ARID1B,0.59,48.2,85,48.2,72,154,296,631,1898,49,68,282,687,1582,chr6,171115067,2,560,2250,0.248888889,4.83,0.746143514
ARRB1,0.77,85,68,79.9,339,571,922,3070,6708,97,268,1082,5711,8311,chr11,135006516,1,3,419,0.007159905,3.1,0.652604275
C2orf78,0.55,43.9,77.3,47.8,22,81,116,432,826,41,77,132,647,1045,chr2,243199373,2,107,923,0.115926327,3.11,0.032509835
C8orf86,0.54,42.7,87.6,89.1,43,97,291,691,809,48,130,250,1177,1622,chr8,146364022,3,211,224,0.941964286,3.25,0.032509835
CCRL2,0,3.4,78.9,54.4,70,97,116,474,1129,0,0,110,802,1303,chr3,198022430,1,249,345,0.72173913,3.71,0.429889051
CD40LG,0.28,16.7,90.3,95.2,35,37,67,293,673,23,42,75,657,1312,chrX,155270560,2,84,262,0.320610687,4.14,0.250277027
CHRNA7,0.14,8.5,72.3,31,77,171,315,3945,8192,103,217,455,1148,1659,chr15,102531392,2,39,503,0.077534791,2.26,0.379365987
CLK3,0.2,11.6,63.9,14.7,54,111,174,915,1760,16,39,207,1024,2029,chr15,102531392,7,300,491,0.610997963,4.24,0.73144243
CLRN2,0.76,63.6,69.6,24.6,36,62,237,965,1415,42,81,210,444,1423,chr4,191154276,2,133,233,0.570815451,2.94,0.032509835
CYP2C19,1.23,87.9,83,71.8,22,69,220,591,1049,34,83,161,669,1229,chr10,135534747,2,55,138,0.398550725,3.07,0.141135803
CYTH3,1.1,83.3,85.2,80.9,14,46,58,575,806,2,3,57,475,684,chr7,159138663,2,31,400,0.0775,3.26,0.715469313
DAAM1,0.39,27,93.8,99.1,38,44,77,462,836,0,11,83,396,825,chr14,107349540,15,690,1069,0.64546305,3.07,0.645976999
DBF4B,0.34,22.4,77,46.7,30,119,240,751,1109,46,46,87,607,1259,chr17,81195210,4,138,432,0.319444444,3.32,0.562967527
DSCR4,0.7,58.5,90.3,95.3,52,101,137,273,506,0,6,44,99,909,chr21,48129895,2,50,119,0.420168067,NaN,0.032509835
